Plaza,PlazaName,Date,TotalCars
21,Catskill,2019-12-12,153076
21,Catskill,2019-12-13,154635
21,Catskill,2019-12-14,133982
21,Catskill,2019-12-15,130051
21,Catskill,2019-12-16,141056
21,Catskill,2019-12-17,132527
21,Catskill,2019-12-18,147479
21,Catskill,2019-12-19,152447
21,Catskill,2019-12-20,156897
21,Catskill,2019-12-21,135582
21,Catskill,2019-12-22,123930
21,Catskill,2019-12-23,140101
21,Catskill,2019-12-24,134135
21,Catskill,2019-12-25,109669
21,Catskill,2019-12-26,130336
21,Catskill,2019-12-27,140418
21,Catskill,2019-12-28,135399
21,Catskill,2019-12-29,121213
21,Catskill,2019-12-30,128078
21,Catskill,2019-12-31,127849
21,Catskill,2020-01-01,102343
21,Catskill,2020-01-02,126235
21,Catskill,2020-01-03,131356
21,Catskill,2020-01-04,113487
21,Catskill,2020-01-05,105860
21,Catskill,2020-01-06,130236
21,Catskill,2020-01-07,133221
21,Catskill,2020-01-08,130249
21,Catskill,2020-01-09,139018
21,Catskill,2020-01-10,142255
21,Catskill,2020-01-11,128871
21,Catskill,2020-01-12,116009
21,Catskill,2020-01-13,131657
21,Catskill,2020-01-14,133253
21,Catskill,2020-01-15,139111
21,Catskill,2020-01-16,140917
21,Catskill,2020-01-17,147955
21,Catskill,2020-01-18,98073
21,Catskill,2020-01-19,103154
21,Catskill,2020-01-20,130761
21,Catskill,2020-01-21,133224
21,Catskill,2020-01-22,132896
21,Catskill,2020-01-23,138091
21,Catskill,2020-01-24,143357
21,Catskill,2020-01-25,113169
21,Catskill,2020-01-26,114020
21,Catskill,2020-01-27,129361
21,Catskill,2020-01-28,131559
21,Catskill,2020-01-29,133605
21,Catskill,2020-01-30,140578
21,Catskill,2020-01-31,146085
21,Catskill,2020-02-01,120023
21,Catskill,2020-02-02,105577
21,Catskill,2020-02-03,134883
21,Catskill,2020-02-04,132535
21,Catskill,2020-02-05,135915
21,Catskill,2020-02-06,136301
21,Catskill,2020-02-07,145112
21,Catskill,2020-02-08,126830
21,Catskill,2020-02-09,114094
21,Catskill,2020-02-10,130097
21,Catskill,2020-02-11,131408
21,Catskill,2020-02-12,136260
21,Catskill,2020-02-13,143915
21,Catskill,2020-02-14,154981
21,Catskill,2020-02-15,124952
21,Catskill,2020-02-16,111291
21,Catskill,2020-02-17,124707
21,Catskill,2020-02-18,133323
21,Catskill,2020-02-19,137713
21,Catskill,2020-02-20,144619
21,Catskill,2020-02-21,145796
21,Catskill,2020-02-22,127175
21,Catskill,2020-02-23,117491
21,Catskill,2020-02-24,132841
21,Catskill,2020-02-25,137339
21,Catskill,2020-02-26,137769
21,Catskill,2020-02-27,144620
21,Catskill,2020-02-28,151730
21,Catskill,2020-02-29,129370
21,Catskill,2020-03-01,122266
21,Catskill,2020-03-02,135572
21,Catskill,2020-03-03,138985
21,Catskill,2020-03-04,141732
21,Catskill,2020-03-05,147380
21,Catskill,2020-03-06,148731
21,Catskill,2020-03-07,127617
21,Catskill,2020-03-08,117274
21,Catskill,2020-03-09,134204
21,Catskill,2020-03-10,132973
21,Catskill,2020-03-11,134048
21,Catskill,2020-03-12,137336
21,Catskill,2020-03-13,132542
21,Catskill,2020-03-14,97067
21,Catskill,2020-03-15,82026
21,Catskill,2020-03-16,112613
21,Catskill,2020-03-17,103200
21,Catskill,2020-03-18,100060
21,Catskill,2020-03-19,88799
21,Catskill,2020-03-20,88072
21,Catskill,2020-03-21,55395
